,user_id,reputation,views,up_votes,down_votes,post_id,score,view_count,comment_count
514,5552,6170,730,1105,143,31880901,0,12,1
515,5552,6170,730,1105,143,27185451,0,11,0
535,1229237,1571,155,3753,1,34362594,0,14,0
536,1229237,1571,155,3753,1,36724546,0,19,0
551,921224,4097,578,819,34,37721648,0,7,0
569,1124744,4874,769,1607,81,35601524,0,13,0
570,1124744,4874,769,1607,81,31167343,0,14,0
571,1124744,4874,769,1607,81,35243063,0,10,1
590,153422,31601,2998,1176,102,31383988,0,12,0
592,1006010,56330,2751,5581,1,33078084,1,12,1
595,41169,5056,1073,740,5,36361949,0,12,0
596,41169,5056,1073,740,5,36520109,0,8,0
597,637609,5206,567,1095,14,30461043,0,15,1
600,11898,50053,2456,1573,48,36445618,1,17,0
601,11898,50053,2456,1573,48,26648659,1,16,0
604,400691,6761,715,1869,50,33904826,0,15,7
608,410636,42200,3858,1793,796,34719924,0,16,0
613,1000,9168,2366,2628,12,33688028,0,14,0
638,4960774,2555,223,768,15,35367961,3,19,0
639,4960774,2555,223,768,15,37072355,1,10,0
642,2298137,9967,1025,793,26,33479410,0,19,0
646,33051,25258,3293,3037,32,37393059,0,15,0
655,141022,14329,1086,2562,17,24939395,0,19,0
656,141022,14329,1086,2562,17,35887536,0,15,0
675,39643,17053,1417,1430,283,37746794,0,10,0
676,39643,17053,1417,1430,283,37597279,0,13,0
703,1572408,3970,259,753,1,26689297,1,19,3
720,1499072,2133,347,1970,13,34118493,0,13,0
721,1499072,2133,347,1970,13,35837533,1,9,0
722,1499072,2133,347,1970,13,36560530,0,18,6
728,56672,9925,1209,808,55,30850819,0,15,0
732,2287576,10099,2099,2718,13,36179316,0,13,3
733,2287576,10099,2099,2718,13,36320031,0,20,0
734,2287576,10099,2099,2718,13,36287093,0,17,2
735,2287576,10099,2099,2718,13,37114640,2,18,1
736,2287576,10099,2099,2718,13,36130680,0,15,0
737,2287576,10099,2099,2718,13,36061045,0,19,3
738,2287576,10099,2099,2718,13,37461297,0,20,2
739,2287576,10099,2099,2718,13,35135816,0,20,0
740,2287576,10099,2099,2718,13,35058972,0,19,1
741,2287576,10099,2099,2718,13,36086537,0,19,4
742,2287576,10099,2099,2718,13,37163849,0,20,3
743,2287576,10099,2099,2718,13,37120096,0,11,0
744,2287576,10099,2099,2718,13,37622851,0,18,4
745,2287576,10099,2099,2718,13,37634638,0,9,2
752,2038544,7608,547,2110,73,35300221,0,19,5
776,31667,29380,2503,1301,327,34888017,0,10,3
777,31667,29380,2503,1301,327,36572706,2,20,0
778,31667,29380,2503,1301,327,33771746,1,10,0
781,1252987,1843,198,930,139,31249324,0,20,0
791,1125402,5903,381,1197,29,36648652,0,8,0
883,2413722,4932,310,1791,56,20458662,0,19,6
912,28901,16971,549,1188,29,35563832,1,19,0
923,1905469,74,68,1945,0,34271094,0,18,0
933,325900,5897,1024,1018,1224,36766631,0,18,1
934,325900,5897,1024,1018,1224,34131406,0,14,1
937,507674,287170,23103,1417,1686,36012966,0,18,4
938,1446086,3626,264,1681,18,34651536,0,20,3
939,1446086,3626,264,1681,18,36407423,0,18,2
945,683553,36082,1723,1262,11,22179082,0,14,2
946,683553,36082,1723,1262,11,31927733,0,12,0
947,683553,36082,1723,1262,11,37471953,0,19,0
948,683553,36082,1723,1262,11,30404261,0,15,0
949,683553,36082,1723,1262,11,32661087,-1,19,3
960,978756,24264,4086,837,760,25726485,0,18,2
963,2541,13009,3873,1943,270,29386926,0,20,2
975,429427,33292,1177,2480,189,31655571,0,13,0
1001,1064869,5644,456,867,15,13952274,0,20,0
1002,1238867,5574,416,1111,89,34557621,0,6,0
0,450456,7746,3598,256,50,34989087,0,19,0
1,450456,7746,3598,256,50,4142174,0,15,0
8,2613662,8213,434,479,49,34338113,0,11,0
9,2613662,8213,434,479,49,33430762,1,15,0
23,1847261,3417,175,355,48,37390645,2,14,0
30,37947,58371,3667,2248,574,37466249,0,19,0
31,1076743,7425,1225,454,121,33428716,0,17,0
